Item,Scenario,Model,N_Total,N_Train,N_Test,MAE_sec,MAE_min,MAE_hour,MAE_day,RMSE_sec,RMSE_min,RMSE_hour,RMSE_day,R2,TrainTime,ElapsedSeconds
SAP 비밀번호 초기화,TF-IDF,Random Forest,364,254,110,4946.031689884689,82.43386149807814,1.3738976916346357,0.057245737151443155,22683.744415141115,378.06240691901854,6.301040115316976,0.26254333813820735,-0.22492363422870998,0.0초,0.033445119857788086
Teams 팀 신청서,TF-IDF,LightGBM,395,276,119,62708.83523308875,1045.1472538848125,17.41912089808021,0.7257967040866754,94198.21538453411,1569.9702564089018,26.166170940148366,1.090257122506182,0.14266660637499606,0.1초,0.14123892784118652
M365 라이선스 신청서,KoBERT,Ridge,192,134,58,92804.57037748072,1546.7428396246785,25.779047327077976,1.0741269719615822,123322.98411950494,2055.3830686584156,34.25638447764026,1.4273493532350108,0.1116766126062696,0.0초,0.0009799003601074219
방화벽 신청 (CH),TF-IDF,Random Forest,149,104,45,112630.56196437136,1877.1760327395227,31.286267212325377,1.303594467180224,146283.5649910754,2438.059416517923,40.63432360863205,1.6930968170263354,-0.07609196925201744,0.0초,0.0337221622467041
VDI 신청서,KoBERT,Random Forest,250,175,75,140907.32666635897,2348.455444439316,39.1409240739886,1.6308718364161916,179599.84608081283,2993.330768013547,49.88884613355912,2.07870192223163,0.018146590723501332,0.0초,0.044738054275512695
M365 라이선스 신청 및 연장,TF-IDF,XGBoost,230,161,69,148848.19636181818,2480.8032726969695,41.346721211616156,1.7227800504840065,187766.92657118282,3129.44877618638,52.15747960310634,2.1732283167960973,0.16617124495062696,0.1초,0.0968468189239502
계정/권한신청,TF-IDF,LightGBM,421,294,127,153651.35324642106,2560.855887440351,42.680931457339184,1.7783721440557994,194178.63689354766,3236.310614892461,53.938510248207685,2.2474379270086535,0.09280449014441428,0.1초,0.14439105987548828
방화벽신청,TF-IDF,XGBoost,126,88,38,156322.06413349355,2605.367735558226,43.422795592637094,1.8092831496932122,185603.16365043228,3093.386060840538,51.5564343473423,2.1481847644725955,-0.001998897825783663,0.1초,0.1106879711151123
웹사이트 차단 해제 신청,TF-IDF,Random Forest,698,488,210,156865.88215108524,2614.431369184754,43.573856153079234,1.8155773397116348,189679.81370284964,3161.3302283808275,52.68883713968046,2.1953682141533526,0.02642685871013728,0.0초,0.045134782791137695
Atlassian 계정/권한요청서,TF-IDF,Ridge,195,136,59,157080.99314783583,2618.0165524639306,43.63360920773218,1.818067050322174,194437.55661062352,3240.625943510392,54.01043239183987,2.250434682993328,-0.00033722390778700984,0.0초,0.0004191398620605469
데이터 요청,TF-IDF,Ridge,814,569,245,161068.14808153396,2684.4691346922327,44.74115224487055,1.8642146768696062,204876.33440921444,3414.6055734869074,56.91009289144846,2.371253870477019,0.0077657207173909,0.0초,0.0010471343994140625
SAP 접근 신청,TF-IDF,LightGBM,307,214,93,161467.79902889722,2691.129983814954,44.8521663969159,1.8688402665381625,202935.175711183,3382.2529285197165,56.370882141995274,2.34878675591647,0.009569007072750213,0.1초,0.07179903984069824
외부장비 반입/반출 신청서,TF-IDF,XGBoost,197,137,60,163216.55920003256,2720.2759866672095,45.33793311112016,1.8890805462966733,199405.74702482152,3323.4291170803585,55.39048528467264,2.30793688686136,-0.17111500610919528,0.1초,0.10380792617797852
PC/OA 기기신청서 (CH),TF-IDF,LightGBM,948,663,285,170599.07827767063,2843.3179712945102,47.38863285490851,1.9745263689545212,204044.69297536594,3400.7448829227656,56.67908138204609,2.3616283909185873,0.003968214411783189,0.1초,0.08767890930175781
IT 헬프 데스크,KoBERT,Random Forest,62,43,19,174645.68660588976,2910.761443431496,48.51269072385826,2.0213621134940944,263862.40902836923,4397.706817139487,73.29511361899145,3.053963067457977,-0.13907993677792096,0.0초,0.03290390968322754
아웃룩 PST예외 / 온라인 보관함 신청,TF-IDF,Random Forest,59,41,18,180036.140430335,3000.6023405055835,50.01003900842639,2.0837516253510997,258305.75301879024,4305.095883646504,71.75159806077507,2.989649919198961,0.05799750471699949,0.0초,0.035141944885253906
시스템 변경요청,TF-IDF,Ridge,610,427,183,194204.32881331266,3236.738813555211,53.94564689258685,2.247735287191119,233169.7849052381,3886.1630817539685,64.76938469589948,2.698724362329145,0.12159227193940214,0.0초,0.0010776519775390625
소프트웨어 지급요청 (CH),TF-IDF,LightGBM,282,197,85,212247.51968550717,3537.4586614251198,58.95764435708533,2.456568514878555,260856.79746082125,4347.613291013688,72.46022151689479,3.019175896537283,-0.056982273395566274,0.0초,0.03590798377990723
