Item,N_After_Filter
서버작업요청(신규/변경/삭제),48
IT서비스포털 오류 문의,47
보안파일서버 신청,41
DB 작업요청 (생성/이관/복구/삭제),41
DB 계정/권한 신청서,31
DNS신청,29
Azure AD SSO 연동,23
외부장비 입출 신청서,23
퇴직철회/임시/복직 권한 신청서,22
서비스나우 공용계정 신청서(ICT용),20
고정 IP 신청 ,19
Application key 신청서,17
AWS EC2 요청서,16
Teams Guest 신청 및 연장신청,12
AWS 사용자계정 신청서,12
Teams Guest 신청서,12
서버공유폴더 신청,10
SMTPS 신청서,6
AWS 저장소 (EBS) 신청서,5
AWS 스토리지(S3) 신청서,4
통합 로그 연동 신청(ITAPI),2
AWS 데이터베이스(for RDS MariaDB) 신청서,2
문서 암호화 게이트 웨이 신청 (AIP G/W),2
서버/DB접근제어 예외신청,2
디자인/퍼블리싱 신청서,1
IT 일반 문의,1
ITSM 작업그룹 변경 ,1
사내 프록시 신청,1
